Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
4157526922,2019-10-18 00:00:26,2019-10-17 18:37:00,San Francisco,California,415,"Calls pretending to be government, businesses, or family and friends",Y
6023388281,2019-10-18 00:00:58,2019-10-17 13:35:00,,Delaware,302,No Subject Provided,Y
4157526922,2019-10-18 00:01:10,2019-10-17 18:35:00,San Francisco,California,415,"Calls pretending to be government, businesses, or family and friends",Y
4157318207,2019-10-18 00:02:08,2019-10-17 18:47:00,San Francisco,California,415,"Calls pretending to be government, businesses, or family and friends",Y
2068003667,2019-10-18 00:02:59,2019-10-17 22:26:00,,Delaware,302,Vacation  & timeshares,Y
+13233892348,2019-10-18 00:01:46,2019-10-18 00:01:46,,California,323,No Subject Provided,Y
4158317175,2019-10-18 00:03:05,2019-10-16 11:55:00,San Francisco,California,415,"Calls pretending to be government, businesses, or family and friends",Y
5034321067,2019-10-18 00:04:06,2019-10-17 23:00:00,Wichita,Kansas,316,Other,N
2036517474,2019-10-18 00:05:42,2019-10-17 21:02:00,,Connecticut,203,No Subject Provided,N
3109533543,2019-10-18 00:06:17,2019-10-17 21:01:00,San Jose,California,408,"Reducing your debt (credit cards, mortgage, student loans)",Y
8506603567,2019-10-18 00:07:50,2019-10-12 13:25:00,Irvine,California,949,No Subject Provided,Y
9546457467,2019-10-18 00:08:41,2019-10-17 17:06:00,Mobile,Alabama,251,No Subject Provided,Y
2024100285,2019-10-18 00:07:43,2019-10-18 00:07:43,,District of Columbia,202,No Subject Provided,Y
+18662672353,2019-10-18 00:03:03,2019-10-18 00:03:03,,Illinois,630,No Subject Provided,Y
4083639942,2019-10-18 00:09:10,2019-10-17 07:55:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
5163395151,2019-10-18 00:10:37,2019-10-16 11:42:00,Grass Valley,California,530,"Calls pretending to be government, businesses, or family and friends",Y
2487773456,2019-10-18 00:11:02,2019-10-17 07:56:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
2564054651,2019-10-18 00:11:56,2019-10-13 17:35:00,SEVERANCE,Colorado,970,Dropped call or no message,Y
8552348886,2019-10-18 00:13:06,2019-10-17 07:57:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
3123977943,2019-10-18 00:13:43,2019-10-17 14:12:00,Chicago,Illinois,312,"Reducing your debt (credit cards, mortgage, student loans)",Y
2564054651,2019-10-18 00:14:09,2019-10-13 12:57:00,SEVERANCE,Colorado,970,No Subject Provided,Y
4087461676,2019-10-18 00:14:35,2019-10-17 21:01:00,San Jose,California,408,"Reducing your debt (credit cards, mortgage, student loans)",Y
3239875803,2019-10-18 00:15:02,2019-10-17 03:12:00,,California,310,No Subject Provided,Y
3109533543,2019-10-18 00:15:33,2019-10-17 16:00:00,Albuquerque,New Mexico,505,Other,Y
2564054651,2019-10-18 00:15:46,2019-10-10 16:48:00,SEVERANCE,Colorado,970,No Subject Provided,Y
