Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
6613703007,2019-10-29 00:00:18,2019-10-24 15:16:00,,California,661,Dropped call or no message,Y
8887085162,2019-10-29 00:00:51,2019-10-28 16:29:00,Alexandria,Virginia,281,"Calls pretending to be government, businesses, or family and friends",Y
4109037904,2019-10-29 00:00:53,2019-10-28 09:48:00,Severna Park,Maryland,410,Medical  & prescriptions,Y
6617182187,2019-10-29 00:01:10,2019-10-24 13:25:00,,California,661,Dropped call or no message,Y
6619453575,2019-10-29 00:01:53,2019-10-24 13:07:00,,California,661,Dropped call or no message,Y
5037932032,2019-10-29 00:01:55,2019-10-28 07:23:00,Washougal,Washington,503,Dropped call or no message,N
9737073398,2019-10-29 00:02:34,2019-10-28 16:06:00,,New Jersey,973,No Subject Provided,Y
6619988895,2019-10-29 00:03:08,2019-10-24 10:40:00,,California,661,Dropped call or no message,Y
5037932032,2019-10-29 00:03:13,2019-10-28 07:34:00,Washougal,Washington,503,Dropped call or no message,N
6613079579,2019-10-29 00:03:48,2019-10-25 13:35:00,,California,661,Dropped call or no message,Y
7245103890,2019-10-29 00:03:51,2019-10-28 08:38:00,,Nevada,702,"Calls pretending to be government, businesses, or family and friends",Y
5035647135,2019-10-29 00:04:22,2019-10-28 10:29:00,Washougal,Washington,503,Dropped call or no message,N
8004234343,2019-10-29 00:05:07,2019-10-28 11:58:00,Severna Park,Maryland,410,"Reducing your debt (credit cards, mortgage, student loans)",Y
8005711376,2019-10-29 00:05:11,2019-10-28 17:09:00,,Louisiana,985,No Subject Provided,Y
6267779641,2019-10-29 00:05:30,2019-10-28 18:17:00,,California,626,No Subject Provided,Y
9737073398,2019-10-29 00:05:46,2019-10-28 10:30:00,,New Jersey,973,No Subject Provided,Y
8338080985,2019-10-29 00:05:53,2019-10-25 10:00:00,,California,661,No Subject Provided,N
2407136548,2019-10-29 00:06:12,2019-10-28 15:14:00,Severna Park,Maryland,410,No Subject Provided,N
8552175874,2019-10-29 00:07:43,2019-10-21 00:04:00,REDWOOD CITY,California,650,"Calls pretending to be government, businesses, or family and friends",Y
3124748557,2019-10-29 00:08:20,2019-10-28 17:47:00,Chicago,Illinois,312,"Reducing your debt (credit cards, mortgage, student loans)",Y
8007664034,2019-10-29 00:09:49,2019-10-28 15:40:00,,Louisiana,985,No Subject Provided,
7027420870,2019-10-29 00:09:13,2019-10-28 12:24:00,Las Vegas,Nevada,702,Dropped call or no message,Y
6266026294,2019-10-29 00:09:47,2019-10-22 17:46:00,,California,626,No Subject Provided,Y
8552172761,2019-10-29 00:10:30,2019-10-28 12:30:00,REDWOOD CITY,California,650,"Calls pretending to be government, businesses, or family and friends",Y
8007538609,2019-10-29 00:10:55,2019-08-20 09:53:00,,California,818,"Calls pretending to be government, businesses, or family and friends",Y
